id,resource_id,ts,pp1,pp2,pp3,,activity,curtain,data,device_id,distance sensor,hours_since_today,light,light sensor,operation,participant,pp3,recipient,reed sensor,sender,Temperature,ts,window
8413,outdoor_sender,2024-08-30T17:53:15,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",20.75,1725029630240,
8414,outdoor_sender,2024-08-30T17:53:15,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",20.75,1725033195633,
8501,outdoor_sender,2024-08-30T18:52:41,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",20.4375,1725033195633,
8502,outdoor_sender,2024-08-30T18:52:41,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",20.4375,1725036761550,
8589,outdoor_sender,2024-08-30T19:52:10,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",19.375,1725036761550,
8590,outdoor_sender,2024-08-30T19:52:10,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",19.375,1725040330897,
8677,outdoor_sender,2024-08-30T20:51:40,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",18.6875,1725040330897,
8678,outdoor_sender,2024-08-30T20:51:40,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",18.6875,1725043900299,
8773,outdoor_sender,2024-08-30T21:51:09,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",18.3125,1725043900299,
8774,outdoor_sender,2024-08-30T21:51:09,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",18.3125,1725047469609,
8869,outdoor_sender,2024-08-30T22:50:36,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",18,1725047469609,
8870,outdoor_sender,2024-08-30T22:50:36,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",18,1725051036733,
8959,outdoor_sender,2024-08-30T23:50:05,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",17.875,1725051036733,
8960,outdoor_sender,2024-08-30T23:50:06,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",17.875,1725054606030,
9041,outdoor_sender,2024-08-31T00:49:31,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",17.4375,1725054606030,
9042,outdoor_sender,2024-08-31T00:49:31,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",17.4375,1725058171183,
9139,outdoor_sender,2024-08-31T01:48:57,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",16.8125,1725058171183,
9140,outdoor_sender,2024-08-31T01:48:58,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",16.8125,1725061737940,
9223,outdoor_sender,2024-08-31T02:48:23,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",16.125,1725061737940,
9224,outdoor_sender,2024-08-31T02:48:24,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",16.125,1725065303980,
9315,outdoor_sender,2024-08-31T03:47:49,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",15.5625,1725065303980,
9316,outdoor_sender,2024-08-31T03:47:49,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",15.5625,1725068869333,
9411,outdoor_sender,2024-08-31T04:47:17,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",15.25,1725068869333,
9412,outdoor_sender,2024-08-31T04:47:17,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",15.25,1725072437465,
9456,HH1_outdoor,2024-08-31T05:18:42,,,,,,,,"d7cd1690399714acf",,,,,,"H1","","HH_outdoor_temp",,"HH1_outdoor",15.4375,1725074322347,
9495,outdoor_sender,2024-08-31T05:46:43,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",15.25,1725072437465,
9496,outdoor_sender,2024-08-31T05:46:43,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",15.25,1725076003319,
9538,HH1_outdoor,2024-08-31T06:17:43,,,,,,,,"d7cd1690399714acf",,,,,,"H1","","HH_outdoor_temp",,"HH1_outdoor",15.4375,1725077863342,
9571,outdoor_sender,2024-08-31T06:46:13,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",15.0625,1725076003319,
9572,outdoor_sender,2024-08-31T06:46:13,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",15.0625,1725079573593,
9616,HH1_outdoor,2024-08-31T07:16:48,,,,,,,,"d7cd1690399714acf",,,,,,"H1","","HH_outdoor_temp",,"HH1_outdoor",15.4375,1725081408657,
9651,outdoor_sender,2024-08-31T07:45:40,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",15,1725079573593,
9652,outdoor_sender,2024-08-31T07:45:40,,,,,,,,"d5947925a76a34d00",,,,,,,"","outdoor_temp",,"outdoor_sender",15,1725083140570,
