id,resource_id,ts,pp1,pp2,pp3,,curtain_living,curtain_zithoek,date_threedaysago,date_twodaysago,date_yesterday,NaN_times,pp1,pp2,shade_keuken,shade_living,shade_zithoek,Temperature_indoor,Temperature_outdoor,time_since_today,ts,windowdoor_keuken,windowdoor_zithoek
15051,30,2024-10-18T16:03:38,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",-13.0,"2024-10-17 11:00:00",1.0,"0"
15052,31,2024-10-18T16:03:39,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-14.0,"2024-10-17 10:00:00",1.0,"0"
15053,32,2024-10-18T16:03:39,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-15.0,"2024-10-17 09:00:00",1.0,"0"
15054,33,2024-10-18T16:03:39,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-16.0,"2024-10-17 08:00:00",1.0,"0"
15055,34,2024-10-18T16:03:39,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-17.0,"2024-10-17 07:00:00",1.0,"0"
15056,35,2024-10-18T16:03:39,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-18.0,"2024-10-17 06:00:00",1.0,"0"
15057,36,2024-10-18T16:03:39,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-19.0,"2024-10-17 05:00:00",1.0,"0"
15058,37,2024-10-18T16:03:39,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-20.0,"2024-10-17 04:00:00",1.0,"0"
15059,38,2024-10-18T16:03:39,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-21.0,"2024-10-17 03:00:00",1.0,"0"
15060,39,2024-10-18T16:03:40,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-22.0,"2024-10-17 02:00:00",1.0,"0"
15061,40,2024-10-18T16:03:40,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-23.0,"2024-10-17 01:00:00",1.0,"0"
15062,41,2024-10-18T16:03:40,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-24.0,"2024-10-17 00:00:00",1.0,"0"
