id,resource_id,ts,pp1,pp2,pp3,,curtain_living,curtain_zithoek,date_threedaysago,date_twodaysago,date_yesterday,NaN_times,pp1,pp2,shade_keuken,shade_living,shade_zithoek,Temperature_indoor,Temperature_outdoor,time_since_today,ts,windowdoor_keuken,windowdoor_zithoek
15003,78,2024-10-18T16:03:46,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",-61.0,"2024-10-15 11:00:00",0.0,1.0
15004,79,2024-10-18T16:03:46,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",-62.0,"2024-10-15 10:00:00",0.0,0.0
15005,80,2024-10-18T16:03:46,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-63.0,"2024-10-15 09:00:00",0.0,0.0
15006,81,2024-10-18T16:03:46,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-64.0,"2024-10-15 08:00:00",0.0,0.0
15007,82,2024-10-18T16:03:46,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-65.0,"2024-10-15 07:00:00",0.0,0.0
15008,83,2024-10-18T16:03:46,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-66.0,"2024-10-15 06:00:00",0.0,0.0
15009,84,2024-10-18T16:03:46,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-67.0,"2024-10-15 05:00:00",0.0,0.0
15010,85,2024-10-18T16:03:46,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-68.0,"2024-10-15 04:00:00",0.0,0.0
15011,86,2024-10-18T16:03:46,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-69.0,"2024-10-15 03:00:00",0.0,0.0
15012,87,2024-10-18T16:03:46,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-70.0,"2024-10-15 02:00:00",0.0,0.0
15013,88,2024-10-18T16:03:47,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-71.0,"2024-10-15 01:00:00",0.0,0.0
15014,89,2024-10-18T16:03:47,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-72.0,"2024-10-15 00:00:00",0.0,0.0
