id,resource_id,ts,pp1,pp2,pp3,,curtain_living,curtain_zithoek,date_threedaysago,date_twodaysago,date_yesterday,NaN_times,pp1,pp2,shade_keuken,shade_living,shade_zithoek,Temperature_indoor,Temperature_outdoor,time_since_today,ts,windowdoor_keuken,windowdoor_zithoek
15007,54,2024-10-18T16:03:42,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",-37.0,"2024-10-16 11:00:00",1.0,"0"
15008,55,2024-10-18T16:03:42,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,0,"0","0","0","0",-38.0,"2024-10-16 10:00:00",1.0,"0"
15009,56,2024-10-18T16:03:42,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-39.0,"2024-10-16 09:00:00",1.0,0.0
15010,57,2024-10-18T16:03:42,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-40.0,"2024-10-16 08:00:00",1.0,0.0
15011,58,2024-10-18T16:03:43,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-41.0,"2024-10-16 07:00:00",1.0,0.0
15012,59,2024-10-18T16:03:43,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-42.0,"2024-10-16 06:00:00",1.0,0.0
15013,60,2024-10-18T16:03:43,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-43.0,"2024-10-16 05:00:00",1.0,0.0
15014,61,2024-10-18T16:03:43,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-44.0,"2024-10-16 04:00:00",1.0,0.0
15015,62,2024-10-18T16:03:43,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0",14.4,"0",-45.0,"2024-10-16 03:00:00",1.0,0.0
15016,63,2024-10-18T16:03:43,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0",14.4,"0",-46.0,"2024-10-16 02:00:00",1.0,0.0
15017,64,2024-10-18T16:03:43,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0",14.4,"0",-47.0,"2024-10-16 01:00:00",1.0,0.0
15018,65,2024-10-18T16:03:44,,,,,"0","0","15/10","16/10","17/10","0",14.4,14.4,1,"0","0","0","0",-48.0,"2024-10-16 00:00:00",1.0,0.0
