id,device_id,ts,activity,pp1,pp2,pp3,,participant,recipient,reed sensor,sender,window
225,3613,2024-08-23T01:52:21,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
226,3613,2024-08-23T02:02:22,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
227,3613,2024-08-23T02:12:19,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
228,3613,2024-08-23T02:22:13,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
229,3613,2024-08-23T02:32:10,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
230,3613,2024-08-23T02:42:05,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
231,3613,2024-08-23T02:52:00,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
232,3613,2024-08-23T03:01:54,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
233,3613,2024-08-23T03:11:50,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
234,3613,2024-08-23T03:21:45,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
235,3613,2024-08-23T03:31:40,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
236,3613,2024-08-23T03:41:40,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
237,3613,2024-08-23T03:51:35,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
238,3613,2024-08-23T04:01:29,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
239,3613,2024-08-23T04:11:24,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
240,3613,2024-08-23T04:21:30,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
241,3613,2024-08-23T04:31:22,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
242,3613,2024-08-23T04:41:28,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
243,3613,2024-08-23T04:51:21,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
244,3613,2024-08-23T05:01:20,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
245,3613,2024-08-23T05:11:17,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
246,3613,2024-08-23T05:21:11,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
247,3613,2024-08-23T05:31:10,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
248,3613,2024-08-23T05:41:03,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
249,3613,2024-08-23T05:50:59,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
250,3613,2024-08-23T06:01:03,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
251,3613,2024-08-23T06:10:56,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
252,3613,2024-08-23T06:20:51,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
253,3613,2024-08-23T06:30:46,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
254,3613,2024-08-23T06:40:41,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
255,3613,2024-08-23T06:50:37,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
256,3613,2024-08-23T07:00:33,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
257,3613,2024-08-23T07:10:28,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
258,3613,2024-08-23T07:20:33,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
259,3613,2024-08-23T07:30:30,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
260,3613,2024-08-23T07:40:28,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
261,3613,2024-08-23T07:50:22,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
262,3613,2024-08-23T08:00:20,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
263,3613,2024-08-23T08:20:12,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
264,3613,2024-08-23T08:30:07,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
265,3613,2024-08-23T08:40:12,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
266,3613,2024-08-23T08:50:05,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
267,3613,2024-08-23T08:59:59,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
268,3613,2024-08-23T09:09:54,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
269,3613,2024-08-23T09:19:50,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
270,3613,2024-08-23T09:29:55,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
271,3613,2024-08-23T09:39:52,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
272,3613,2024-08-23T09:49:46,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
273,3613,2024-08-23T09:59:41,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
274,3613,2024-08-23T10:09:40,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
275,3613,2024-08-23T10:19:33,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
276,3613,2024-08-23T10:29:29,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
277,3613,2024-08-23T10:39:34,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
278,3613,2024-08-23T10:49:26,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
279,3613,2024-08-23T10:59:21,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
280,3613,2024-08-23T11:09:16,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
281,3613,2024-08-23T11:19:11,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
282,3613,2024-08-23T11:29:10,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
283,3613,2024-08-23T11:39:04,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
284,3613,2024-08-23T11:48:59,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
285,3613,2024-08-23T11:58:54,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
286,3613,2024-08-23T12:08:49,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
287,3613,2024-08-23T12:18:45,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
288,3613,2024-08-23T12:28:40,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
289,3613,2024-08-23T12:38:35,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
290,3613,2024-08-23T12:48:31,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
291,3613,2024-08-23T12:58:25,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
292,3613,2024-08-23T13:08:20,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
293,3613,2024-08-23T13:18:15,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
294,3613,2024-08-23T13:28:14,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
295,3613,2024-08-23T13:38:08,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
296,3613,2024-08-23T13:48:03,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
297,3613,2024-08-23T13:58:18,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
298,3613,2024-08-23T14:08:10,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
299,3613,2024-08-23T14:18:41,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
300,3613,2024-08-23T14:28:33,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
301,3613,2024-08-23T14:38:33,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
302,3613,2024-08-23T14:48:27,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
303,3613,2024-08-23T14:58:23,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
304,3613,2024-08-23T15:08:18,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
305,3613,2024-08-23T15:18:23,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
306,3613,2024-08-23T15:28:17,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
307,3613,2024-08-23T15:38:22,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
308,3613,2024-08-23T15:48:15,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
309,3613,2024-08-23T15:58:14,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
310,3613,2024-08-23T16:08:06,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
311,3613,2024-08-23T16:18:06,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
312,3613,2024-08-23T16:28:10,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
313,3613,2024-08-23T16:38:03,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
314,3613,2024-08-23T16:48:01,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
315,3613,2024-08-23T16:57:59,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
316,3613,2024-08-23T17:07:53,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
317,3613,2024-08-23T17:17:48,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
318,3613,2024-08-23T17:27:43,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
319,3613,2024-08-23T17:37:42,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
320,3613,2024-08-23T17:47:40,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
321,3613,2024-08-23T17:57:33,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
322,3613,2024-08-23T18:07:40,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
323,3613,2024-08-23T18:17:33,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
324,3613,2024-08-23T18:27:32,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
325,3613,2024-08-23T18:37:25,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
326,3613,2024-08-23T18:47:24,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
327,3613,2024-08-23T18:57:18,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
328,3613,2024-08-23T19:07:23,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
329,3613,2024-08-23T19:17:17,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
330,3613,2024-08-23T19:27:12,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
331,3613,2024-08-23T19:37:07,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
332,3613,2024-08-23T19:47:01,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
333,3613,2024-08-23T19:57:00,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
334,3613,2024-08-23T20:06:56,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
335,3613,2024-08-23T20:16:51,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
336,3613,2024-08-23T20:26:47,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
337,3613,2024-08-23T20:36:46,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
338,3613,2024-08-23T20:46:40,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
339,3613,2024-08-23T20:56:40,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
340,3613,2024-08-23T21:06:34,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
341,3613,2024-08-23T21:16:31,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
342,3613,2024-08-23T21:26:36,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
343,3613,2024-08-23T21:36:33,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
344,3613,2024-08-23T21:46:32,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
345,3613,2024-08-23T21:56:30,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
346,3613,2024-08-23T22:06:24,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
347,3613,2024-08-23T22:16:19,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
348,3613,2024-08-23T22:26:18,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
349,3613,2024-08-23T22:36:22,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
350,3613,2024-08-23T22:46:18,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
351,3613,2024-08-23T22:56:12,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
352,3613,2024-08-23T23:06:27,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
353,3613,2024-08-23T23:16:20,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
354,3613,2024-08-23T23:26:15,,H1,,,,"H1","HH_door_receiver",1.0,"HH1_door_1","open"
355,3613,2024-08-23T23:36:10,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
356,3613,2024-08-23T23:46:07,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
357,3613,2024-08-23T23:56:01,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
358,3613,2024-08-24T00:06:08,,H1,,,,"H1","HH_door_receiver",0.0,"HH1_door_1","closed"
